,amount,floor_number,rooms_number,size,month,year,Wartość
488,642432.0,1,2,41.78,9,2025,2.9000000000000057
489,471681.0,2,2,39.02,9,2025,2.9000000000000057
490,567684.0,3,2,47.64,9,2025,2.9000000000000057
491,466880.0,2,2,38.27,9,2025,2.9000000000000057
492,638088.0,2,3,50.31,9,2025,2.9000000000000057
493,796641.0,2,4,72.95,9,2025,2.9000000000000057
494,843330.0,1,4,73.12,9,2025,2.9000000000000057
495,473753.5,3,2,36.62,9,2025,2.9000000000000057
496,527510.48,3,2,36.37,9,2025,2.9000000000000057
497,542654.75,1,2,38.56,9,2025,2.9000000000000057
498,584459.2,4,2,40.29,9,2025,2.9000000000000057
499,373876.93,5,1,27.36,9,2025,2.9000000000000057
500,460805.36,2,1,29.41,9,2025,2.9000000000000057
501,488616.01,1,1,29.5,9,2025,2.9000000000000057
502,508940.22,3,1,29.5,9,2025,2.9000000000000057
